session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Industry,Nationality,Sex,Student Status
61265e39752ab115608d360b,610c1f4fbda7e49e52812d95,APPROVED,2021-08-25 15:14:02.819000,2021-08-25 15:23:20.981000,558.162,27,41,0,100,2021-08-25 15:59:45.199000,9EC36FE2,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Female,No
61265f8b80ee8a74574ed623,610171e1ba81a9d3b258982b,REJECTED,2021-08-25 15:19:41.213000,2021-08-25 15:23:19.096000,217.883,27,88,1,100,2021-08-25 15:57:38.027000,9EC36FE2,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Female,No
61265feaa65f0f9496847e86,60fdae513bfebe2fe0122138,APPROVED,2021-08-25 15:21:16.143000,2021-08-25 15:35:40.087000,863.944,22,89,0,100,2021-08-25 15:59:45.274000,9EC36FE2,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Female,No
6126600d7d74c9fd7826b1ca,610858576fe57d22263d886b,APPROVED,2021-08-25 15:21:49.223000,2021-08-25 15:29:14.546000,445.323,24,41,0,100,2021-08-25 15:59:45.344000,9EC36FE2,United States,United States,Full-Time,Lithuanian,"English, Lithuanian",Real Estate Rental and Leasing,United States,Female,Yes
612660d5781529c347413805,61003eec79160087b6dab234,TIMED-OUT,2021-08-25 15:25:09.564000,,1050584.485596,25,2,0,100,,,United States,United States,Full-Time,English,"English, Spanish",Real Estate Rental and Leasing,United States,Female,Yes
6126636a131dd054e2c7dee1,5f9204c669c428109eda454e,APPROVED,2021-08-25 15:36:12.692000,2021-08-25 15:43:22.667000,429.975,25,589,2,100,2021-08-25 15:59:45.425000,9EC36FE2,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Female,No
612669f4dd9f87501c080b7f,5de55783e520274db68ca01c,APPROVED,2021-08-25 16:04:07.439000,2021-08-25 16:20:10.541000,963.102,33,1483,1,100,2021-08-25 17:54:30.866000,9EC36FE2,Israel,United States,Full-Time,English,"French, English, Spanish, Hebrew",Real Estate Rental and Leasing,United States,Male,No
61266a89bd258f963750ca3c,5de6766e89d6b4000f71bc0d,APPROVED,2021-08-25 16:06:38.544000,2021-08-25 16:19:42.898000,784.354,47,705,4,99,2021-08-25 17:54:30.923000,9EC36FE2,United States,United States,DATA EXPIRED,English,English,Real Estate Rental and Leasing,United States,Female,DATA EXPIRED
612674e9c1929179404db854,60ff57e5154dbec052c4fba2,TIMED-OUT,2021-08-25 16:50:54.115000,,1045440.020288,30,61,0,100,,,Japan,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Male,No
61267646a8958f3c754580a3,6085bb66296b0a411198d8fd,APPROVED,2021-08-25 16:56:44.504000,2021-08-25 17:03:23.738000,399.234,35,247,2,99,2021-08-25 17:54:30.982000,9EC36FE2,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Male,No
61267d4b5e0e847bf7ca3924,61083629df7ac8e36cb88db7,APPROVED,2021-08-25 17:26:41.932000,2021-08-25 17:47:42.730000,1260.798,19,57,0,100,2021-08-25 17:54:31.038000,9EC36FE2,United States,United States,Part-Time,English,"Chinese, English",Real Estate Rental and Leasing,United States,Female,Yes
6126861abd5604e123530ef1,60ff6e80dad89b82091c850a,APPROVED,2021-08-25 18:04:14.484000,2021-08-25 18:12:42.189000,507.705,25,57,0,100,2021-08-25 19:57:45.760000,9EC36FE2,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Female,No
61268a0b2711ace1af4691a1,60fcd909e567b28402d41f6c,APPROVED,2021-08-25 18:21:07.753000,2021-08-25 18:28:22.131000,434.378,23,82,0,100,2021-08-25 19:57:45.840000,9EC36FE2,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Female,No
61268dabb3d2aed583d57138,60fdf33fdfb2399145bb4df4,APPROVED,2021-08-25 18:36:29.585000,2021-08-25 18:42:06.603000,337.018,24,37,0,100,2021-08-25 19:57:45.914000,9EC36FE2,United States,United States,Part-Time,English,English,Real Estate Rental and Leasing,United States,Female,Yes
61269149cfd72967d59b7a25,6109a1d93ad976cdff4749ef,APPROVED,2021-08-25 18:51:57.005000,2021-08-25 19:10:51.543000,1134.538,18,25,0,100,2021-08-25 19:57:45.989000,9EC36FE2,United States,United States,Part-Time,English,"English, French, Spanish",Real Estate Rental and Leasing,United States,Female,Yes
612692a7dc58cfb250818842,60feba6596fcb1e4a5eedc07,APPROVED,2021-08-25 18:57:52.466000,2021-08-25 19:15:01.331000,1028.865,31,100,1,100,2021-08-25 19:57:46.065000,9EC36FE2,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Female,No
61269457f64c4090e8c33e0e,5e46bda46041fc18bf68996f,APPROVED,2021-08-25 19:04:58.963000,2021-08-25 19:09:08.720000,249.757,25,874,2,100,2021-08-25 19:57:46.152000,9EC36FE2,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Female,DATA EXPIRED
61269829a617bf2422922d98,6102f92d040633f0a2b80b91,APPROVED,2021-08-25 19:21:15.888000,2021-08-25 19:52:13.743000,1857.855,22,72,0,100,2021-08-25 19:57:46.238000,9EC36FE2,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Female,No
61269b54fd985d93bbe5066d,61006bcb609561af30dac310,APPROVED,2021-08-25 19:34:45.961000,2021-08-25 19:42:29.028000,463.067,24,29,0,100,2021-08-25 19:57:46.335000,9EC36FE2,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Female,No
6126a7afbae9f03bebac4d5a,6126749c50ad9c08370b6796,APPROVED,2021-08-25 20:35:32.569000,2021-08-25 20:45:18.794000,586.225,24,14,0,100,2021-08-26 00:59:49.836000,9EC36FE2,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Female,No
